original,disfluent,generated_text
What is necessary to disobey?,What Book I meant what is necessary to disobey?,What is necessary to disobey?
Lower rates of health and social problems are just two of examples of effects from what?,Higher rates Lower rates of health and social problems are just two of examples of effects from what?,Lower rates of health and social problems are just two of examples of effects from what?
On which corner is the shopping center located?,What are or on which corner is the shopping center located?,On which corner is the shopping center located?
Where were French North Americans unsettled?,"Where were French South Americans unsettled no correction, I meant French North Americans?",Where were French North Americans unsettled?
The West Lutheran question is known as what?,Following the sorry let me restart uh like the West Lutheran question is known as what?,The West Lutheran question is known as what?
Where can population estimates be extrapolated from?,How much  no Where can population estimates be extrapolated from?,Where can population estimates be extrapolated from?
Where are the upper Rhine and upper Danube crossed?,Where are the northern section no rather the upper Rhine and upper Danube crossed?,Where are the upper Rhine and upper Danube crossed?
How successful was initial effort by Braddock?,How unsuccessful was initial effort by Braddock no successful?,How successful was initial effort by Braddock?
What gang entered the West Side in 2008?,Which or no make that what gang entered the West Side in 2008?,What gang entered the West Side in 2008?
What was established in 1809?,What was established in 1890 er 1809?,What was established in 1809?
Which district in Fresno is known as the center for the heavy metal community?,Which neighborhood or like district in Fresno is known as the center for the heavy metal community?,Which district in Fresno is known as the center for the heavy metal community?
What happens to the norm when a number is multiplied by p?,What happens to the norm when a number is multiplied by q no multiplied by p?,What happens to the norm when a number is multiplied by p?
What does the plos pathogen paper claim?,What does the plos pathogen paper demonstrate or rather claim?,What does the plos pathogen paper claim?
What did the US Department of Defense gain from their funding to RAND Corporation?,What was the Bell System no sorry tell me what the US Department of Defense gained from their funding of RAND Corporation?,The US Department of Defense gained from their funding to RAND Corporation?
